住所,移動1,移動2,移動3,築年数,全階数,部屋階,賃料,管理費,敷,礼,保証,敷引|償却,間取り,専有面積,詳細リンク
東京都中央区銀座１,ＪＲ山手線/東京駅 歩15分,ＪＲ山手線/有楽町駅 歩10分,東京メトロ有楽町線/銀座一丁目駅 歩4分,14,13階建,2階,113000,8000,-,113000,-,-,1K,21.42
東京都中央区銀座４,東京メトロ日比谷線/築地駅 歩5分,東京メトロ有楽町線/有楽町駅 歩10分,都営浅草線/東銀座駅 歩1分,12,10階建,3階,120000,8000,240000,-,-,-,ワンルーム,24.41
東京都中央区銀座２,都営浅草線/東銀座駅 歩3分,東京メトロ丸ノ内線/銀座駅 歩6分,ＪＲ山手線/有楽町駅 歩9分,13,8階建,2階,131000,,131000,262000,-,-,1K,35.86
東京都中央区新川２,ＪＲ京葉線/八丁堀駅 歩5分,東京メトロ日比谷線/八丁堀駅 歩9分,ＪＲ山手線/有楽町駅 歩25分,14,12階建,11階,125000,7000,125000,-,-,-,ワンルーム,33.33
東京都中央区銀座２,都営浅草線/東銀座駅 歩2分,東京メトロ銀座線/銀座駅 歩6分,ＪＲ山手線/有楽町駅 歩9分,14,14階建,3階,138000,,138000,138000,-,-,1K,26.69
東京都中央区銀座２,都営浅草線/東銀座駅 歩2分,東京メトロ銀座線/銀座駅 歩6分,ＪＲ山手線/有楽町駅 歩9分,14,14階建,5階,143000,,143000,143000,-,-,1K,29.35
東京都中央区銀座２,都営浅草線/東銀座駅 歩2分,東京メトロ銀座線/銀座駅 歩6分,ＪＲ山手線/有楽町駅 歩9分,14,14階建,4階,145000,10000,145000,145000,-,-,1DK,30.2
東京都中央区銀座２,東京メトロ丸ノ内線/銀座駅 歩8分,ＪＲ山手線/有楽町駅 歩9分,都営浅草線/宝町駅 歩7分,14,地下1地上14階建,3階,138000,,138000,138000,-,-,1K,26.69
東京都中央区銀座２,東京メトロ丸ノ内線/銀座駅 歩8分,ＪＲ山手線/有楽町駅 歩9分,都営浅草線/宝町駅 歩7分,14,地下1地上14階建,5階,143000,,143000,143000,-,-,1K,29.35
東京都中央区銀座２,東京メトロ丸ノ内線/銀座駅 歩8分,ＪＲ山手線/有楽町駅 歩9分,都営浅草線/宝町駅 歩7分,14,地下1地上14階建,4階,145000,10000,145000,145000,-,-,1DK,30.2
東京都中央区銀座４,東京メトロ日比谷線/東銀座駅 歩1分,東京メトロ有楽町線/有楽町駅 歩10分,東京メトロ丸ノ内線/銀座駅 歩5分,14,14階建,2階,130000,10000,130000,130000,-,-,ワンルーム,29.08
東京都中央区銀座４,東京メトロ日比谷線/東銀座駅 歩1分,東京メトロ有楽町線/有楽町駅 歩10分,東京メトロ丸ノ内線/銀座駅 歩5分,14,14階建,7階,140000,10000,140000,140000,-,-,ワンルーム,31.56
東京都千代田区五番町,ＪＲ総武線/市ヶ谷駅 歩2分,東京メトロ有楽町線/有楽町駅 歩3分,東京メトロ丸ノ内線/四ツ谷駅 歩9分,48,7階建,5階,140000,5000,140000,140000,-,-,1DK,32
東京都中央区銀座２,東京メトロ銀座線/銀座駅 歩7分,東京メトロ有楽町線/新富町駅 歩4分,ＪＲ山手線/有楽町駅 歩11分,1,10階建,7階,140000,10000,140000,140000,-,-,1K,25.87
東京都中央区銀座２,東京メトロ銀座線/銀座駅 歩7分,東京メトロ有楽町線/新富町駅 歩4分,ＪＲ山手線/有楽町駅 歩11分,1,10階建,7階,140000,10000,140000,140000,-,-,1K,25.87
東京都中央区銀座２,東京メトロ丸ノ内線/銀座駅 歩5分,東京メトロ日比谷線/東銀座駅 歩2分,ＪＲ山手線/有楽町駅 歩9分,14,地下1地上14階建,4階,145000,10000,145000,145000,-,-,2K,30.2
東京都中央区銀座１,ＪＲ山手線/有楽町駅 歩12分,東京メトロ銀座線/銀座駅 歩9分,東京メトロ有楽町線/銀座一丁目駅 歩5分,14,10階建,9階,150000,10000,150000,150000,-,150000,ワンルーム,40.92
東京都中央区銀座１,東京メトロ有楽町線/銀座一丁目駅 歩1分,ＪＲ山手線/有楽町駅 歩9分,東京メトロ銀座線/銀座駅 歩5分,17,地下1地上11階建,4階,160000,,160000,160000,-,-,ワンルーム,23.79
東京都中央区銀座１,東京メトロ有楽町線/銀座一丁目駅 歩1分,ＪＲ山手線/有楽町駅 歩9分,東京メトロ銀座線/銀座駅 歩5分,17,地下1地上11階建,5階,170000,20000,340000,170000,-,-,ワンルーム,28.21
東京都中央区銀座１,東京メトロ有楽町線/銀座一丁目駅 歩1分,東京メトロ有楽町線/有楽町駅 歩1分,東京メトロ銀座線/銀座駅 歩8分,17,11階建,4階,160000,,160000,160000,-,-,ワンルーム,23.79
東京都中央区銀座１,ＪＲ山手線/有楽町駅 歩1分,,,17,地下1地上11階建,4階,160000,,160000,160000,-,-,ワンルーム,23.79
東京都中央区入船３,東京メトロ有楽町線/新富町駅 歩3分,東京メトロ日比谷線/八丁堀駅 歩7分,ＪＲ山手線/有楽町駅 歩17分,10,10階建,8階,153000,10000,153000,-,-,-,1LDK,42.58
東京都中央区入船３,東京メトロ有楽町線/新富町駅 歩3分,東京メトロ日比谷線/八丁堀駅 歩7分,ＪＲ山手線/有楽町駅 歩17分,10,10階建,8階,161000,10000,161000,-,-,-,1LDK,44.68
