写真,名前,住所,移動1,移動2,移動3,築年数,全階数,部屋階,賃料,管理費,敷/礼/保証/敷引|償却,間取り,専有面積,詳細リンク
http://img01.suumo.com/front/gazo/fr/bukken/147/100099983147/100099983147_gw.jpg,幸町ハイム,石川県加賀市山代温泉,ＪＲ北陸本線/加賀温泉駅 歩48分,ＪＲ北陸本線/動橋駅 歩60分,ＪＲ北陸本線/大聖寺駅 歩66分,築36年,4階建,3階,4万円,2000円,8万円/-/-/-,2DK,38.16m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031606590/?bc=100099983147
http://img01.suumo.com/front/gazo/fr/bukken/384/100088577384/100088577384_gw.jpg,レスポワールI,石川県加賀市別所町４,ＪＲ北陸本線/加賀温泉駅 バス30分 (バス停)見晴台 歩2分,,,築16年,2階建,1階,4万円,2500円,-/-/-/-,2DK,42.77m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031892517/?bc=100088577384
http://img01.suumo.com/front/gazo/fr/bukken/086/100010075086/100010075086_gw.jpg,ＪＲ北陸本線 加賀温泉駅 2階建 築17年,石川県加賀市松が丘４,ＪＲ北陸本線/加賀温泉駅 歩14分,,,築17年,2階建,2階,4.2万円,2000円,-/-/-/-,2K,41.15m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000024877981/?bc=100010075086
http://img01.suumo.com/front/gazo/fr/bukken/834/100100613834/100100613834_gw.jpg,ラ・ネージュ,石川県加賀市二子塚町,ＪＲ北陸本線/動橋駅 歩34分,,,築11年,2階建,1階,4.1万円,3000円,-/-/-/-,1LDK,40.12m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031922216/?bc=100100613834
http://img01.suumo.com/front/gazo/fr/bukken/211/100099234211/100099234211_gw.jpg,サンパティークVI,石川県加賀市別所町２,ＪＲ北陸本線/加賀温泉駅 バス20分 (バス停)見晴台 歩6分,,,築8年,2階建,1階,4.15万円,4000円,-/-/-/-,2DK,45.81m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031947761/?bc=100099234211
http://img01.suumo.com/front/gazo/fr/bukken/181/100100780181/100100780181_gw.jpg,コーポ菊翠,石川県加賀市山代温泉北部２,ＪＲ北陸本線/加賀温泉駅 バス13分 (バス停)山代温泉口 歩2分,,,築39年,3階建,1階,4.3万円,3000円,4.3万円/4.3万円/-/-,3DK,57.51m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031880586/?bc=100100780181
http://img01.suumo.com/front/gazo/fr/bukken/181/100100780181/100100780181_gw.jpg,コーポ菊翠,石川県加賀市山代温泉北部２,ＪＲ北陸本線/加賀温泉駅 バス13分 (バス停)山代温泉口 歩2分,,,築39年,3階建,2階,4.3万円,3000円,4.3万円/4.3万円/-/-,3DK,57.51m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031880587/?bc=100100780185
http://img01.suumo.com/front/gazo/fr/bukken/884/100086310884/100086310884_gw.jpg,グランツ大和I,石川県加賀市山代温泉大和町,ＪＲ北陸本線/加賀温泉駅 バス15分 (バス停)山代温泉西口 歩15分,,,築3年,2階建,1階,4.25万円,3500円,-/-/-/-,1LDK,46.35m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000024859990/?bc=100086310884
http://img01.suumo.com/front/gazo/fr/bukken/695/100097002695/100097002695_gw.jpg,メゾン東栄,石川県加賀市山代温泉桔梗丘１,ＪＲ北陸本線/加賀温泉駅 歩55分,,,築26年,4階建,3階,4.5万円,2000円,-/-/-/-,3DK,58.52m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000030580128/?bc=100097002695
http://img01.suumo.com/front/gazo/fr/bukken/031/100101491031/100101491031_gw.jpg,デスパシオIIＢ,石川県加賀市大聖寺上福田町,ＪＲ北陸本線/大聖寺駅 バス3分 (バス停)岡町 歩6分,,,築9年,2階建,1階,4.35万円,4000円,-/-/-/-,2DK,42.9m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000032104637/?bc=100101491031
http://img01.suumo.com/front/gazo/fr/bukken/912/100095825912/100095825912_gw.jpg,セジュールポロアII,石川県加賀市松が丘３,バス/加賀白山バス「松ヶ丘1丁目」 歩13分,,,築17年,2階建,2階,4.6万円,3000円,4.6万円/-/-/-,3DK,50.04m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031811334/?bc=100095825912
http://img01.suumo.com/front/gazo/fr/bukken/096/100100124096/100100124096_gw.jpg,ルコネッサンス,石川県加賀市山代温泉ヌ,ＪＲ北陸本線/加賀温泉駅 バス15分 (バス停)河南町 歩13分,,,築7年,2階建,2階,4.55万円,3500円,-/-/-/-,1LDK,46.28m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031922219/?bc=100100124096
http://img01.suumo.com/front/gazo/fr/bukken/574/100099717574/100099717574_gw.jpg,ＪＲ北陸本線 加賀温泉駅 2階建 築37年,石川県加賀市松が丘１,ＪＲ北陸本線/加賀温泉駅 歩17分,,,築37年,2階建,-,5万円,-,10万円/-/-/-,4LDK,80.32m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031526037/?bc=100099717574
http://img01.suumo.com/front/gazo/fr/bukken/942/100024649942/100024649942_gw.jpg,山背台マンション,石川県加賀市山代温泉山背台２,ＪＲ北陸本線/加賀温泉駅 バス20分 (バス停)山代小学校前 歩4分,,,築36年,3階建,1階,4.7万円,3000円,4.7万円/-/-/-,3DK,61.12m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031955401/?bc=100024649942
http://img01.suumo.com/front/gazo/fr/bukken/039/100044045039/100044045039_gw.jpg,デスパシオIIA,石川県加賀市大聖寺上福田町,ＪＲ北陸本線/大聖寺駅 バス10分 (バス停)岡町 歩6分,,,築9年,2階建,2階,4.7万円,4000円,-/-/-/-,2DK,53m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000032078089/?bc=100044045039
http://img01.suumo.com/front/gazo/fr/bukken/073/100100543073/100100543073_gw.jpg,アンビションI,石川県加賀市七日市町,ＪＲ北陸本線/動橋駅 バス10分 (バス停)西島 歩10分,,,築6年,2階建,1階,4.75万円,3500円,-/-/-/-,1LDK,46.06m2,https://suumo.jp/chintai/ishikawa/sc_kaga/jnc_000031766586/?bc=100100543073
